user_input,intent,bot_response,escalation_needed,emotion_tag,follow_up_question,resource_link
i'm worthless please,emergency,You are valuable. Please don’t go through this alone. Contact 988 or a trusted person.,Yes,crisis,,https://findahelpline.com
i feel suicidal,emergency,Your safety is very important. Please call a helpline: 988 (India: 1800-599-0019),Yes,crisis,,https://findahelpline.com
I'm scared I might fail my test,exam_anxiety,"Exams can be overwhelming. Remember, you're doing your best and that's what matters.",No,negative,Do you want tips for managing exam stress?,https://adaa.org/living-with-anxiety/children/test-anxiety
Everyone else has friends except me,loneliness,"I'm sorry you're feeling this way. You're not alone, many students feel lonely at times.",No,negative,Do you want to explore ways to meet new people?,https://www.mind.org.uk/information-support/tips-for-everyday-living/student-life/loneliness-at-university
too much homework,academic stress,Assignments can feel overwhelming. Want me to suggest some time management tips?,No,negative,,
I feel so lonely at college,loneliness,"I'm sorry you're feeling this way. You're not alone, many students feel lonely at times.",No,negative,Would you like to share more about how you feel in social situations?,https://www.mind.org.uk/information-support/tips-for-everyday-living/student-life/loneliness-at-university
I feel like giving up,motivation,It’s okay to feel unmotivated sometimes. Taking small steps can help you get back on track.,No,negative,Would you like to talk about what’s making you feel this way?,https://www.apa.org/topics/motivation
i feel anxious in class please,anxiety,"It’s okay, many students experience this. Try breathing slowly when you feel nervous.",No,anxiety,Do you want me to share relaxation techniques?,
i did well in exam please,positive,Congrats! You deserve to celebrate your hard work.,No,positive,,
i did well in exam,positive,Congrats! You deserve to celebrate your hard work.,No,positive,,
i cut myself please,emergency,I'm really concerned about you. Please call 988 or reach out to a professional immediately.,Yes,crisis,,https://findahelpline.com
Exams are stressing me out,exam_anxiety,It's normal to feel anxious before exams. Have you tried breaking your study sessions into smaller chunks?,No,negative,Do you want tips for managing exam stress?,https://adaa.org/living-with-anxiety/children/test-anxiety
I don't have anyone to talk to,loneliness,It takes time to build friendships. You're worthy of meaningful connections.,No,negative,Do you want to explore ways to meet new people?,https://www.mind.org.uk/information-support/tips-for-everyday-living/student-life/loneliness-at-university
I feel like giving up,motivation,It’s okay to feel unmotivated sometimes. Taking small steps can help you get back on track.,No,negative,Would you like to talk about what’s making you feel this way?,https://www.apa.org/topics/motivation
Exams are stressing me out,exam_anxiety,It's normal to feel anxious before exams. Have you tried breaking your study sessions into smaller chunks?,No,negative,Do you want tips for managing exam stress?,https://adaa.org/living-with-anxiety/children/test-anxiety
i feel happy please,positive,That’s wonderful! What made you happy today?,No,positive,,
I'm really anxious about my exams,exam_anxiety,Taking breaks and practicing relaxation techniques might help you focus better.,No,negative,Do you want tips for managing exam stress?,https://adaa.org/living-with-anxiety/children/test-anxiety
i want to die,emergency,I care about you. Please reach out immediately to a counselor or call 1800-599-0019 in India.,Yes,crisis,,https://findahelpline.com
I can't focus on studying,exam_anxiety,Taking breaks and practicing relaxation techniques might help you focus better.,No,negative,Do you want tips for managing exam stress?,https://adaa.org/living-with-anxiety/children/test-anxiety
social anxiety,anxiety,You're not alone. Many students feel this way in groups.,No,anxiety,Would you like tips for group interactions?,
I'm really anxious about my exams,exam_anxiety,It's normal to feel anxious before exams. Have you tried breaking your study sessions into smaller chunks?,No,negative,Would you like to talk about your study routine?,https://adaa.org/living-with-anxiety/children/test-anxiety
I feel like giving up,motivation,It’s okay to feel unmotivated sometimes. Taking small steps can help you get back on track.,No,negative,Do you want me to share some motivation tips?,https://www.apa.org/topics/motivation
Exams are stressing me out,exam_anxiety,It's normal to feel anxious before exams. Have you tried breaking your study sessions into smaller chunks?,No,negative,Do you want tips for managing exam stress?,https://adaa.org/living-with-anxiety/children/test-anxiety
Exams are stressing me out,exam_anxiety,It's normal to feel anxious before exams. Have you tried breaking your study sessions into smaller chunks?,No,negative,Would you like to talk about your study routine?,https://adaa.org/living-with-anxiety/children/test-anxiety
I feel like giving up,motivation,Sometimes starting with just 5 minutes of work can help build momentum.,No,negative,Would you like to talk about what’s making you feel this way?,https://www.apa.org/topics/motivation
I can't get out of bed to attend lectures,motivation,Remind yourself of your goals and why you started. Even little progress counts.,No,negative,Would you like to talk about what’s making you feel this way?,https://www.apa.org/topics/motivation
good night please,greeting,"Good night! Remember, tomorrow is a fresh start.",No,neutral,,
I don't have anyone to talk to,loneliness,It takes time to build friendships. You're worthy of meaningful connections.,No,negative,Do you want to explore ways to meet new people?,https://www.mind.org.uk/information-support/tips-for-everyday-living/student-life/loneliness-at-university
nobody cares about me,sadness,"It may feel that way, but you matter and your feelings are valid.",No,negative,Do you want me to connect you with resources?,
I'm really anxious about my exams,exam_anxiety,"Exams can be overwhelming. Remember, you're doing your best and that's what matters.",No,negative,Do you want tips for managing exam stress?,https://adaa.org/living-with-anxiety/children/test-anxiety
good night please,greeting,"Good night! Remember, tomorrow is a fresh start.",No,neutral,,
Exams are stressing me out,exam_anxiety,Taking breaks and practicing relaxation techniques might help you focus better.,No,negative,Do you want tips for managing exam stress?,https://adaa.org/living-with-anxiety/children/test-anxiety
i feel stressed,stress,I'm sorry to hear that. Can you tell me what’s causing stress?,No,negative,"Is it about studies, friends, or family?",
I feel like giving up,motivation,Remind yourself of your goals and why you started. Even little progress counts.,No,negative,Would you like to talk about what’s making you feel this way?,https://www.apa.org/topics/motivation
Exams are stressing me out,exam_anxiety,Taking breaks and practicing relaxation techniques might help you focus better.,No,negative,Do you want tips for managing exam stress?,https://adaa.org/living-with-anxiety/children/test-anxiety
i want to die please,emergency,I care about you. Please reach out immediately to a counselor or call 1800-599-0019 in India.,Yes,crisis,,https://findahelpline.com
i want to die please,emergency,I care about you. Please reach out immediately to a counselor or call 1800-599-0019 in India.,Yes,crisis,,https://findahelpline.com
I feel left out in my class,loneliness,"I'm sorry you're feeling this way. You're not alone, many students feel lonely at times.",No,negative,Do you want to explore ways to meet new people?,https://www.mind.org.uk/information-support/tips-for-everyday-living/student-life/loneliness-at-university
too much homework please,academic stress,Assignments can feel overwhelming. Want me to suggest some time management tips?,No,negative,,
I can't focus on studying,exam_anxiety,It's normal to feel anxious before exams. Have you tried breaking your study sessions into smaller chunks?,No,negative,Do you want tips for managing exam stress?,https://adaa.org/living-with-anxiety/children/test-anxiety
hey please,greeting,Hello! How can I support you today?,No,neutral,How was your day?,
Exams are stressing me out,exam_anxiety,Taking breaks and practicing relaxation techniques might help you focus better.,No,negative,Would you like to talk about your study routine?,https://adaa.org/living-with-anxiety/children/test-anxiety
i feel stressed please,stress,I'm sorry to hear that. Can you tell me what’s causing stress?,No,negative,"Is it about studies, friends, or family?",
i feel suicidal please,emergency,Your safety is very important. Please call a helpline: 988 (India: 1800-599-0019),Yes,crisis,,https://findahelpline.com
I feel so lonely at college,loneliness,"I'm sorry you're feeling this way. You're not alone, many students feel lonely at times.",No,negative,Would you like to share more about how you feel in social situations?,https://www.mind.org.uk/information-support/tips-for-everyday-living/student-life/loneliness-at-university
hey,greeting,Hello! How can I support you today?,No,neutral,How was your day?,
i feel stressed please,stress,I'm sorry to hear that. Can you tell me what’s causing stress?,No,negative,"Is it about studies, friends, or family?",
Exams are stressing me out,exam_anxiety,"Exams can be overwhelming. Remember, you're doing your best and that's what matters.",No,negative,Do you want tips for managing exam stress?,https://adaa.org/living-with-anxiety/children/test-anxiety
I'm really anxious about my exams,exam_anxiety,Taking breaks and practicing relaxation techniques might help you focus better.,No,negative,Would you like to talk about your study routine?,https://adaa.org/living-with-anxiety/children/test-anxiety
hey please,greeting,Hello! How can I support you today?,No,neutral,How was your day?,
i feel anxious in class,anxiety,"It’s okay, many students experience this. Try breathing slowly when you feel nervous.",No,anxiety,Do you want me to share relaxation techniques?,
I feel like giving up,motivation,It’s okay to feel unmotivated sometimes. Taking small steps can help you get back on track.,No,negative,Do you want me to share some motivation tips?,https://www.apa.org/topics/motivation
i feel sad please,sadness,I'm here for you. Do you want to share what’s making you sad?,No,negative,,
I can't focus on studying,exam_anxiety,"Exams can be overwhelming. Remember, you're doing your best and that's what matters.",No,negative,Would you like to talk about your study routine?,https://adaa.org/living-with-anxiety/children/test-anxiety
i feel happy,positive,That’s wonderful! What made you happy today?,No,positive,,
i feel anxious in class,anxiety,"It’s okay, many students experience this. Try breathing slowly when you feel nervous.",No,anxiety,Do you want me to share relaxation techniques?,
I have no motivation to study,motivation,It’s okay to feel unmotivated sometimes. Taking small steps can help you get back on track.,No,negative,Do you want me to share some motivation tips?,https://www.apa.org/topics/motivation
Everyone else has friends except me,loneliness,"I'm sorry you're feeling this way. You're not alone, many students feel lonely at times.",No,negative,Would you like to share more about how you feel in social situations?,https://www.mind.org.uk/information-support/tips-for-everyday-living/student-life/loneliness-at-university
i feel stressed please,stress,I'm sorry to hear that. Can you tell me what’s causing stress?,No,negative,"Is it about studies, friends, or family?",
I don't have anyone to talk to,loneliness,It takes time to build friendships. You're worthy of meaningful connections.,No,negative,Would you like to share more about how you feel in social situations?,https://www.mind.org.uk/information-support/tips-for-everyday-living/student-life/loneliness-at-university
Everyone else has friends except me,loneliness,It takes time to build friendships. You're worthy of meaningful connections.,No,negative,Do you want to explore ways to meet new people?,https://www.mind.org.uk/information-support/tips-for-everyday-living/student-life/loneliness-at-university
hello,greeting,Hi there! How are you feeling today?,No,neutral,Do you want to talk about your day?,
I can't get out of bed to attend lectures,motivation,Remind yourself of your goals and why you started. Even little progress counts.,No,negative,Do you want me to share some motivation tips?,https://www.apa.org/topics/motivation
good morning please,greeting,Good morning! How are you doing today?,No,neutral,Do you want to share how you're feeling?,
I can't get out of bed to attend lectures,motivation,Sometimes starting with just 5 minutes of work can help build momentum.,No,negative,Do you want me to share some motivation tips?,https://www.apa.org/topics/motivation
i feel stressed please,stress,I'm sorry to hear that. Can you tell me what’s causing stress?,No,negative,"Is it about studies, friends, or family?",
Everyone else has friends except me,loneliness,College can feel isolating sometimes. Have you thought about joining a student club or activity?,No,negative,Do you want to explore ways to meet new people?,https://www.mind.org.uk/information-support/tips-for-everyday-living/student-life/loneliness-at-university
i cut myself please,emergency,I'm really concerned about you. Please call 988 or reach out to a professional immediately.,Yes,crisis,,https://findahelpline.com
I don't have anyone to talk to,loneliness,It takes time to build friendships. You're worthy of meaningful connections.,No,negative,Do you want to explore ways to meet new people?,https://www.mind.org.uk/information-support/tips-for-everyday-living/student-life/loneliness-at-university
I don't have anyone to talk to,loneliness,"I'm sorry you're feeling this way. You're not alone, many students feel lonely at times.",No,negative,Do you want to explore ways to meet new people?,https://www.mind.org.uk/information-support/tips-for-everyday-living/student-life/loneliness-at-university
I'm scared I might fail my test,exam_anxiety,It's normal to feel anxious before exams. Have you tried breaking your study sessions into smaller chunks?,No,negative,Would you like to talk about your study routine?,https://adaa.org/living-with-anxiety/children/test-anxiety
I can't get out of bed to attend lectures,motivation,Remind yourself of your goals and why you started. Even little progress counts.,No,negative,Do you want me to share some motivation tips?,https://www.apa.org/topics/motivation
i feel stressed please,stress,I'm sorry to hear that. Can you tell me what’s causing stress?,No,negative,"Is it about studies, friends, or family?",
Everyone else has friends except me,loneliness,It takes time to build friendships. You're worthy of meaningful connections.,No,negative,Would you like to share more about how you feel in social situations?,https://www.mind.org.uk/information-support/tips-for-everyday-living/student-life/loneliness-at-university
I don't have anyone to talk to,loneliness,"I'm sorry you're feeling this way. You're not alone, many students feel lonely at times.",No,negative,Would you like to share more about how you feel in social situations?,https://www.mind.org.uk/information-support/tips-for-everyday-living/student-life/loneliness-at-university
I'm scared I might fail my test,exam_anxiety,It's normal to feel anxious before exams. Have you tried breaking your study sessions into smaller chunks?,No,negative,Would you like to talk about your study routine?,https://adaa.org/living-with-anxiety/children/test-anxiety
i did well in exam,positive,Congrats! You deserve to celebrate your hard work.,No,positive,,
I have no motivation to study,motivation,Remind yourself of your goals and why you started. Even little progress counts.,No,negative,Would you like to talk about what’s making you feel this way?,https://www.apa.org/topics/motivation
I feel like giving up,motivation,Sometimes starting with just 5 minutes of work can help build momentum.,No,negative,Would you like to talk about what’s making you feel this way?,https://www.apa.org/topics/motivation
i feel sad,sadness,I'm here for you. Do you want to share what’s making you sad?,No,negative,,
Exams are stressing me out,exam_anxiety,Taking breaks and practicing relaxation techniques might help you focus better.,No,negative,Do you want tips for managing exam stress?,https://adaa.org/living-with-anxiety/children/test-anxiety
i did well in exam please,positive,Congrats! You deserve to celebrate your hard work.,No,positive,,
I'm really anxious about my exams,exam_anxiety,Taking breaks and practicing relaxation techniques might help you focus better.,No,negative,Would you like to talk about your study routine?,https://adaa.org/living-with-anxiety/children/test-anxiety
good morning please,greeting,Good morning! How are you doing today?,No,neutral,Do you want to share how you're feeling?,
Everyone else has friends except me,loneliness,College can feel isolating sometimes. Have you thought about joining a student club or activity?,No,negative,Do you want to explore ways to meet new people?,https://www.mind.org.uk/information-support/tips-for-everyday-living/student-life/loneliness-at-university
I feel like giving up,motivation,It’s okay to feel unmotivated sometimes. Taking small steps can help you get back on track.,No,negative,Would you like to talk about what’s making you feel this way?,https://www.apa.org/topics/motivation
i procrastinate please,academic stress,Many students do. Breaking work into smaller steps can help.,No,negative,Do you want a quick productivity trick?,
I feel like giving up,motivation,Remind yourself of your goals and why you started. Even little progress counts.,No,negative,Do you want me to share some motivation tips?,https://www.apa.org/topics/motivation
I feel like giving up,motivation,Remind yourself of your goals and why you started. Even little progress counts.,No,negative,Would you like to talk about what’s making you feel this way?,https://www.apa.org/topics/motivation
I don't see the point of studying anymore,motivation,Remind yourself of your goals and why you started. Even little progress counts.,No,negative,Do you want me to share some motivation tips?,https://www.apa.org/topics/motivation
I don't see the point of studying anymore,motivation,It’s okay to feel unmotivated sometimes. Taking small steps can help you get back on track.,No,negative,Do you want me to share some motivation tips?,https://www.apa.org/topics/motivation
Everyone else has friends except me,loneliness,College can feel isolating sometimes. Have you thought about joining a student club or activity?,No,negative,Do you want to explore ways to meet new people?,https://www.mind.org.uk/information-support/tips-for-everyday-living/student-life/loneliness-at-university
I don't have anyone to talk to,loneliness,It takes time to build friendships. You're worthy of meaningful connections.,No,negative,Would you like to share more about how you feel in social situations?,https://www.mind.org.uk/information-support/tips-for-everyday-living/student-life/loneliness-at-university
i feel anxious in class please,anxiety,"It’s okay, many students experience this. Try breathing slowly when you feel nervous.",No,anxiety,Do you want me to share relaxation techniques?,
good night please,greeting,"Good night! Remember, tomorrow is a fresh start.",No,neutral,,
I feel left out in my class,loneliness,College can feel isolating sometimes. Have you thought about joining a student club or activity?,No,negative,Do you want to explore ways to meet new people?,https://www.mind.org.uk/information-support/tips-for-everyday-living/student-life/loneliness-at-university
I feel left out in my class,loneliness,"I'm sorry you're feeling this way. You're not alone, many students feel lonely at times.",No,negative,Do you want to explore ways to meet new people?,https://www.mind.org.uk/information-support/tips-for-everyday-living/student-life/loneliness-at-university
good morning,greeting,Good morning! How are you doing today?,No,neutral,Do you want to share how you're feeling?,
i feel happy please,positive,That’s wonderful! What made you happy today?,No,positive,,
I don't have anyone to talk to,loneliness,"I'm sorry you're feeling this way. You're not alone, many students feel lonely at times.",No,negative,Would you like to share more about how you feel in social situations?,https://www.mind.org.uk/information-support/tips-for-everyday-living/student-life/loneliness-at-university
I don't see the point of studying anymore,motivation,It’s okay to feel unmotivated sometimes. Taking small steps can help you get back on track.,No,negative,Would you like to talk about what’s making you feel this way?,https://www.apa.org/topics/motivation
i did well in exam,positive,Congrats! You deserve to celebrate your hard work.,No,positive,,
I feel so lonely at college,loneliness,"I'm sorry you're feeling this way. You're not alone, many students feel lonely at times.",No,negative,Do you want to explore ways to meet new people?,https://www.mind.org.uk/information-support/tips-for-everyday-living/student-life/loneliness-at-university
i feel happy,positive,That’s wonderful! What made you happy today?,No,positive,,
i cut myself please,emergency,I'm really concerned about you. Please call 988 or reach out to a professional immediately.,Yes,crisis,,https://findahelpline.com
i feel happy please,positive,That’s wonderful! What made you happy today?,No,positive,,
I feel like giving up,motivation,Sometimes starting with just 5 minutes of work can help build momentum.,No,negative,Would you like to talk about what’s making you feel this way?,https://www.apa.org/topics/motivation
I don't see the point of studying anymore,motivation,Sometimes starting with just 5 minutes of work can help build momentum.,No,negative,Do you want me to share some motivation tips?,https://www.apa.org/topics/motivation
social anxiety,anxiety,You're not alone. Many students feel this way in groups.,No,anxiety,Would you like tips for group interactions?,
I feel so lonely at college,loneliness,College can feel isolating sometimes. Have you thought about joining a student club or activity?,No,negative,Would you like to share more about how you feel in social situations?,https://www.mind.org.uk/information-support/tips-for-everyday-living/student-life/loneliness-at-university
I feel like giving up,motivation,Sometimes starting with just 5 minutes of work can help build momentum.,No,negative,Would you like to talk about what’s making you feel this way?,https://www.apa.org/topics/motivation
i feel anxious in class please,anxiety,"It’s okay, many students experience this. Try breathing slowly when you feel nervous.",No,anxiety,Do you want me to share relaxation techniques?,
i did well in exam,positive,Congrats! You deserve to celebrate your hard work.,No,positive,,
Exams are stressing me out,exam_anxiety,It's normal to feel anxious before exams. Have you tried breaking your study sessions into smaller chunks?,No,negative,Do you want tips for managing exam stress?,https://adaa.org/living-with-anxiety/children/test-anxiety
I don't have anyone to talk to,loneliness,College can feel isolating sometimes. Have you thought about joining a student club or activity?,No,negative,Do you want to explore ways to meet new people?,https://www.mind.org.uk/information-support/tips-for-everyday-living/student-life/loneliness-at-university
I can't get out of bed to attend lectures,motivation,Sometimes starting with just 5 minutes of work can help build momentum.,No,negative,Would you like to talk about what’s making you feel this way?,https://www.apa.org/topics/motivation
can't focus on studies please,academic stress,That’s common when pressure builds up. Would you like some tips for focus?,No,negative,Do you want to try time management techniques?,
I don't have anyone to talk to,loneliness,It takes time to build friendships. You're worthy of meaningful connections.,No,negative,Do you want to explore ways to meet new people?,https://www.mind.org.uk/information-support/tips-for-everyday-living/student-life/loneliness-at-university
I feel like giving up,motivation,It’s okay to feel unmotivated sometimes. Taking small steps can help you get back on track.,No,negative,Do you want me to share some motivation tips?,https://www.apa.org/topics/motivation
i want to die please,emergency,I care about you. Please reach out immediately to a counselor or call 1800-599-0019 in India.,Yes,crisis,,https://findahelpline.com
i want to die please,emergency,I care about you. Please reach out immediately to a counselor or call 1800-599-0019 in India.,Yes,crisis,,https://findahelpline.com
i feel stressed please,stress,I'm sorry to hear that. Can you tell me what’s causing stress?,No,negative,"Is it about studies, friends, or family?",
I don't see the point of studying anymore,motivation,Remind yourself of your goals and why you started. Even little progress counts.,No,negative,Would you like to talk about what’s making you feel this way?,https://www.apa.org/topics/motivation
I'm really anxious about my exams,exam_anxiety,Taking breaks and practicing relaxation techniques might help you focus better.,No,negative,Do you want tips for managing exam stress?,https://adaa.org/living-with-anxiety/children/test-anxiety
I'm scared I might fail my test,exam_anxiety,It's normal to feel anxious before exams. Have you tried breaking your study sessions into smaller chunks?,No,negative,Would you like to talk about your study routine?,https://adaa.org/living-with-anxiety/children/test-anxiety
nobody cares about me,sadness,"It may feel that way, but you matter and your feelings are valid.",No,negative,Do you want me to connect you with resources?,
i feel empty please,sadness,I'm sorry you're feeling this way. You're not alone.,No,negative,Would you like some self-care suggestions?,
Exams are stressing me out,exam_anxiety,It's normal to feel anxious before exams. Have you tried breaking your study sessions into smaller chunks?,No,negative,Would you like to talk about your study routine?,https://adaa.org/living-with-anxiety/children/test-anxiety
can't focus on studies please,academic stress,That’s common when pressure builds up. Would you like some tips for focus?,No,negative,Do you want to try time management techniques?,
I'm really anxious about my exams,exam_anxiety,Taking breaks and practicing relaxation techniques might help you focus better.,No,negative,Do you want tips for managing exam stress?,https://adaa.org/living-with-anxiety/children/test-anxiety
I'm really anxious about my exams,exam_anxiety,Taking breaks and practicing relaxation techniques might help you focus better.,No,negative,Would you like to talk about your study routine?,https://adaa.org/living-with-anxiety/children/test-anxiety
good night,greeting,"Good night! Remember, tomorrow is a fresh start.",No,neutral,,
I feel so lonely at college,loneliness,"I'm sorry you're feeling this way. You're not alone, many students feel lonely at times.",No,negative,Would you like to share more about how you feel in social situations?,https://www.mind.org.uk/information-support/tips-for-everyday-living/student-life/loneliness-at-university
i'm worthless,emergency,You are valuable. Please don’t go through this alone. Contact 988 or a trusted person.,Yes,crisis,,https://findahelpline.com
I feel so lonely at college,loneliness,College can feel isolating sometimes. Have you thought about joining a student club or activity?,No,negative,Do you want to explore ways to meet new people?,https://www.mind.org.uk/information-support/tips-for-everyday-living/student-life/loneliness-at-university
good night please,greeting,"Good night! Remember, tomorrow is a fresh start.",No,neutral,,
i made a new friend please,positive,That’s great! New friendships can bring joy.,No,positive,,
i feel stressed please,stress,I'm sorry to hear that. Can you tell me what’s causing stress?,No,negative,"Is it about studies, friends, or family?",
I can't focus on studying,exam_anxiety,"Exams can be overwhelming. Remember, you're doing your best and that's what matters.",No,negative,Would you like to talk about your study routine?,https://adaa.org/living-with-anxiety/children/test-anxiety
I feel left out in my class,loneliness,College can feel isolating sometimes. Have you thought about joining a student club or activity?,No,negative,Do you want to explore ways to meet new people?,https://www.mind.org.uk/information-support/tips-for-everyday-living/student-life/loneliness-at-university
I have no motivation to study,motivation,Sometimes starting with just 5 minutes of work can help build momentum.,No,negative,Would you like to talk about what’s making you feel this way?,https://www.apa.org/topics/motivation
i feel lonely please,sadness,That sounds tough. Talking to a friend or loved one might help.,No,negative,Do you want me to share helpline resources?,
I'm really anxious about my exams,exam_anxiety,Taking breaks and practicing relaxation techniques might help you focus better.,No,negative,Do you want tips for managing exam stress?,https://adaa.org/living-with-anxiety/children/test-anxiety
I have no motivation to study,motivation,Sometimes starting with just 5 minutes of work can help build momentum.,No,negative,Do you want me to share some motivation tips?,https://www.apa.org/topics/motivation
i want to die,emergency,I care about you. Please reach out immediately to a counselor or call 1800-599-0019 in India.,Yes,crisis,,https://findahelpline.com
I have no motivation to study,motivation,Remind yourself of your goals and why you started. Even little progress counts.,No,negative,Do you want me to share some motivation tips?,https://www.apa.org/topics/motivation
i feel suicidal,emergency,Your safety is very important. Please call a helpline: 988 (India: 1800-599-0019),Yes,crisis,,https://findahelpline.com
I don't see the point of studying anymore,motivation,Sometimes starting with just 5 minutes of work can help build momentum.,No,negative,Do you want me to share some motivation tips?,https://www.apa.org/topics/motivation
I'm scared I might fail my test,exam_anxiety,It's normal to feel anxious before exams. Have you tried breaking your study sessions into smaller chunks?,No,negative,Would you like to talk about your study routine?,https://adaa.org/living-with-anxiety/children/test-anxiety
i feel anxious in class please,anxiety,"It’s okay, many students experience this. Try breathing slowly when you feel nervous.",No,anxiety,Do you want me to share relaxation techniques?,
Everyone else has friends except me,loneliness,College can feel isolating sometimes. Have you thought about joining a student club or activity?,No,negative,Do you want to explore ways to meet new people?,https://www.mind.org.uk/information-support/tips-for-everyday-living/student-life/loneliness-at-university
I can't focus on studying,exam_anxiety,Taking breaks and practicing relaxation techniques might help you focus better.,No,negative,Do you want tips for managing exam stress?,https://adaa.org/living-with-anxiety/children/test-anxiety
good night,greeting,"Good night! Remember, tomorrow is a fresh start.",No,neutral,,
i did well in exam please,positive,Congrats! You deserve to celebrate your hard work.,No,positive,,
I can't get out of bed to attend lectures,motivation,Sometimes starting with just 5 minutes of work can help build momentum.,No,negative,Would you like to talk about what’s making you feel this way?,https://www.apa.org/topics/motivation
I don't have anyone to talk to,loneliness,It takes time to build friendships. You're worthy of meaningful connections.,No,negative,Would you like to share more about how you feel in social situations?,https://www.mind.org.uk/information-support/tips-for-everyday-living/student-life/loneliness-at-university
I'm scared I might fail my test,exam_anxiety,"Exams can be overwhelming. Remember, you're doing your best and that's what matters.",No,negative,Would you like to talk about your study routine?,https://adaa.org/living-with-anxiety/children/test-anxiety
I can't focus on studying,exam_anxiety,It's normal to feel anxious before exams. Have you tried breaking your study sessions into smaller chunks?,No,negative,Do you want tips for managing exam stress?,https://adaa.org/living-with-anxiety/children/test-anxiety
I'm scared I might fail my test,exam_anxiety,Taking breaks and practicing relaxation techniques might help you focus better.,No,negative,Would you like to talk about your study routine?,https://adaa.org/living-with-anxiety/children/test-anxiety
Everyone else has friends except me,loneliness,It takes time to build friendships. You're worthy of meaningful connections.,No,negative,Do you want to explore ways to meet new people?,https://www.mind.org.uk/information-support/tips-for-everyday-living/student-life/loneliness-at-university
i'm worthless please,emergency,You are valuable. Please don’t go through this alone. Contact 988 or a trusted person.,Yes,crisis,,https://findahelpline.com
I don't see the point of studying anymore,motivation,It’s okay to feel unmotivated sometimes. Taking small steps can help you get back on track.,No,negative,Would you like to talk about what’s making you feel this way?,https://www.apa.org/topics/motivation
i want to die,emergency,I care about you. Please reach out immediately to a counselor or call 1800-599-0019 in India.,Yes,crisis,,https://findahelpline.com
nobody cares about me please,sadness,"It may feel that way, but you matter and your feelings are valid.",No,negative,Do you want me to connect you with resources?,
I feel left out in my class,loneliness,It takes time to build friendships. You're worthy of meaningful connections.,No,negative,Do you want to explore ways to meet new people?,https://www.mind.org.uk/information-support/tips-for-everyday-living/student-life/loneliness-at-university
I can't get out of bed to attend lectures,motivation,Sometimes starting with just 5 minutes of work can help build momentum.,No,negative,Would you like to talk about what’s making you feel this way?,https://www.apa.org/topics/motivation
i'm worthless please,emergency,You are valuable. Please don’t go through this alone. Contact 988 or a trusted person.,Yes,crisis,,https://findahelpline.com
i feel stressed please,stress,I'm sorry to hear that. Can you tell me what’s causing stress?,No,negative,"Is it about studies, friends, or family?",
I don't see the point of studying anymore,motivation,Sometimes starting with just 5 minutes of work can help build momentum.,No,negative,Would you like to talk about what’s making you feel this way?,https://www.apa.org/topics/motivation
can't focus on studies,academic stress,That’s common when pressure builds up. Would you like some tips for focus?,No,negative,Do you want to try time management techniques?,
i feel suicidal,emergency,Your safety is very important. Please call a helpline: 988 (India: 1800-599-0019),Yes,crisis,,https://findahelpline.com
I don't have anyone to talk to,loneliness,College can feel isolating sometimes. Have you thought about joining a student club or activity?,No,negative,Do you want to explore ways to meet new people?,https://www.mind.org.uk/information-support/tips-for-everyday-living/student-life/loneliness-at-university
i feel stressed please,stress,I'm sorry to hear that. Can you tell me what’s causing stress?,No,negative,"Is it about studies, friends, or family?",
i feel anxious,anxiety,"It’s okay, many students experience this. Try breathing slowly when you feel nervous.",No,anxiety,Do you want me to share relaxation techniques?,
I can't get out of bed to attend lectures,motivation,Sometimes starting with just 5 minutes of work can help build momentum.,No,negative,Do you want me to share some motivation tips?,https://www.apa.org/topics/motivation
hello please,greeting,Hi there! How are you feeling today?,No,neutral,Do you want to talk about your day?,
i feel anxious,anxiety,"It’s okay, many students experience this. Try breathing slowly when you feel nervous.",No,anxiety,Do you want me to share relaxation techniques?,
I have no motivation to study,motivation,Remind yourself of your goals and why you started. Even little progress counts.,No,negative,Do you want me to share some motivation tips?,https://www.apa.org/topics/motivation
I don't have anyone to talk to,loneliness,College can feel isolating sometimes. Have you thought about joining a student club or activity?,No,negative,Do you want to explore ways to meet new people?,https://www.mind.org.uk/information-support/tips-for-everyday-living/student-life/loneliness-at-university
Exams are stressing me out,exam_anxiety,"Exams can be overwhelming. Remember, you're doing your best and that's what matters.",No,negative,Do you want tips for managing exam stress?,https://adaa.org/living-with-anxiety/children/test-anxiety
i'm worthless,emergency,You are valuable. Please don’t go through this alone. Contact 988 or a trusted person.,Yes,crisis,,https://findahelpline.com
Everyone else has friends except me,loneliness,College can feel isolating sometimes. Have you thought about joining a student club or activity?,No,negative,Do you want to explore ways to meet new people?,https://www.mind.org.uk/information-support/tips-for-everyday-living/student-life/loneliness-at-university
Exams are stressing me out,exam_anxiety,It's normal to feel anxious before exams. Have you tried breaking your study sessions into smaller chunks?,No,negative,Do you want tips for managing exam stress?,https://adaa.org/living-with-anxiety/children/test-anxiety
can't focus on studies,academic stress,That’s common when pressure builds up. Would you like some tips for focus?,No,negative,Do you want to try time management techniques?,
i feel sad please,sadness,I'm here for you. Do you want to share what’s making you sad?,No,negative,,
i get nervous before exams please,anxiety,That’s natural. Would you like some exam relaxation strategies?,No,anxiety,,
i feel stressed please,stress,I'm sorry to hear that. Can you tell me what’s causing stress?,No,negative,"Is it about studies, friends, or family?",
